271.448,-50.5576,42.7753 -0.0087280124425888,0.00528604676947,-0.39942818880081,0.91670769453049
275.838,-54.6539,42.7795 -0.0048150117509067,-0.0016826307401061,-0.39780840277672,0.91745436191559
315.589,-98.064,43.4827 0.00048315117601305,0.014189381152391,-0.48748454451561,0.87301617860794
315.589,-98.064,43.4827 0.00048315117601305,0.014189381152391,-0.48748454451561,0.87301617860794
216.421,-29.8279,42.7835 0.0017711295513436,-0.0067928512580693,-0.83699184656143,0.54717034101486
216.421,-29.8279,42.7835 -0.0017711295513436,-0.0067928512580693,-0.83699184656143,0.54717034101486
200.935,-122.269,43.7817 -0.0065604061819613,-0.012573253363371,-0.2682346701622,0.96324920654297
267.004,-201.494,43.844 0.016603766009212,0.0026845892425627,0.87684202194214,-0.48048436641693
270.919,-198.988,43.8996 -7.560115045635e-05,-0.0039465674199164,0.87749791145325,-0.47956418991089
273.952,-197.036,43.9714 -0.0040691755712032,-0.005193080753088,0.87769371271133,-0.47917664051056
274.952,-196.036,43.9714 -0.0040691755712032,-0.005193080753088,0.87769371271133,-0.47917664051056
295.756,-176.52,45.043 -0.01197724044323,0.00065229635220021,0.92243820428848,-0.3859583735466
298.143,-174.141,45.1224 -0.0082814423367381,-0.0063575152307749,0.92367541790009,-0.38303354382515
301.005,-171.288,45.2253 -0.004236379172653,-0.0043443548493087,0.92390525341034,-0.38257324695587
304.134,-168.134,45.2919 -0.0072972094640136,0.002465495839715,0.92536014318466,-0.3790108859539
321.765,-104.051,43.6657 -0.024627225473523,0.0069906539283693,0.89535224437714,0.44462224841118
317.692,-100.975,43.5467 -0.017770990729332,0.008324921131134,0.89615154266357,0.4433140158653
279.595,-56.6828,42.7818 0.0030050575733185,0.0067561608739197,0.94109004735947,0.33807548880577
219.329,-28.5598,42.7798 -0.0024484847672284,-0.0048751537688076,-0.83641135692596,0.54807525873184
221.661,-27.5455,42.7851 0.0063102245330811,0.00074248854070902,-0.83627408742905,0.54827493429184
142.485,-96.7732,42.8266 0.0020450463052839,0.0043554184958339,0.41913971304893,0.90790903568268
139.995,-98.8898,42.8733 0.0051864362321794,0.0033315944019705,0.41941139101982,0.90777534246445
136.855,-101.543,42.9668 0.0086955577135086,0.00080473214620724,0.42012917995453,0.90742230415344
205.456,-129.788,43.7958 0.0011851369636133,-0.0095142563804984,-0.26876443624496,0.96315824985504
203.494,-126.534,43.774 0.0015672044828534,-0.0036703464575112,-0.26790279150009,0.96343767642975
